iter	Passed	Remaining
282	543	1377
283	545	1375
284	547	1372
285	548	1370
286	550	1367
287	552	1364
288	553	1361
289	555	1360
290	557	1358
291	559	1356
292	561	1353
293	562	1351
294	564	1348
295	565	1346
296	567	1343
297	569	1341
298	571	1340
299	573	1337
300	574	1334
301	576	1331
302	578	1329
303	579	1327
304	581	1325
305	583	1322
306	584	1319
307	586	1316
308	588	1316
309	590	1314
310	592	1311
311	593	1308
312	595	1307
313	597	1305
314	599	1303
315	600	1300
316	602	1298
317	605	1298
318	606	1295
319	608	1292
320	609	1289
321	611	1286
322	612	1283
323	614	1281
324	615	1279
325	618	1278
326	620	1276
327	622	1275
328	625	1274
329	626	1272
330	628	1269
331	629	1267
332	631	1265
333	633	1263
334	635	1260
335	637	1259
336	639	1258
337	641	1255
338	642	1253
339	644	1250
340	646	1248
341	648	1248
342	650	1245
343	651	1242
344	653	1241
345	655	1238
346	656	1235
347	658	1233
348	659	1230
349	661	1228
350	663	1226
351	664	1223
352	666	1221
353	667	1218
354	669	1216
355	671	1214
356	673	1212
357	675	1211
358	677	1209
359	679	1207
360	680	1205
361	682	1203
362	684	1201
363	686	1199
364	688	1197
365	690	1195
366	691	1193
367	693	1191
368	695	1188
369	696	1186
370	698	1184
371	700	1182
372	703	1181
373	704	1179
374	707	1179
375	708	1176
376	710	1174
377	712	1172
378	714	1170
379	715	1167
380	717	1165
381	719	1163
382	720	1161
383	721	1158
384	723	1155
385	724	1152
386	725	1149
387	727	1147
388	729	1145
389	731	1143
390	732	1141
391	734	1139
392	736	1137
393	738	1135
394	740	1133
395	741	1131
396	743	1129
397	745	1127
398	746	1124
399	748	1122
400	749	1120
401	751	1118
402	753	1116
403	755	1114
404	756	1111
405	758	1109
406	760	1107
407	761	1105
408	763	1102
409	764	1100
410	767	1099
411	768	1097
412	770	1095
413	772	1092
414	773	1091
415	775	1088
416	777	1086
417	778	1084
418	780	1082
419	781	1079
420	783	1077
421	785	1075
422	787	1073
423	788	1071
424	790	1069
425	792	1067
426	793	1065
427	795	1063
428	797	1060
429	798	1058
430	800	1056
431	802	1054
432	803	1052
433	805	1050
434	806	1047
435	808	1045
436	810	1043
437	811	1041
438	814	1040
439	815	1038
440	817	1036
441	819	1034
442	820	1031
443	822	1029
444	823	1027
445	825	1025
446	827	1023
447	828	1021
448	830	1019
449	832	1016
450	834	1015
451	835	1013
452	837	1010
453	838	1008
454	840	1007
455	842	1005
456	844	1003
457	845	1000
458	847	998
459	848	996
460	850	994
461	852	992
462	854	990
463	856	988
464	857	987
465	859	985
466	861	983
467	863	981
468	865	979
469	868	979
470	869	976
471	871	974
472	872	972
473	874	970
474	875	967
475	877	966
476	879	963
477	880	961
478	882	960
479	884	958
480	886	956
481	887	953
482	889	951
483	890	949
484	892	947
485	893	945
486	895	943
487	897	941
488	899	940
489	901	938
490	903	936
491	904	934
492	906	932
493	907	929
494	909	927
495	911	926
496	913	924
497	915	922
498	916	920
499	919	919
500	921	917
501	922	915
502	924	913
503	926	911
504	927	909
505	929	907
506	930	905
507	933	903
508	934	901
509	936	899
510	937	897
511	939	895
512	941	893
513	943	891
514	944	889
515	946	887
516	947	885
517	950	884
518	951	882
519	953	880
520	955	878
521	957	876
522	959	874
523	960	872
524	962	871
525	964	869
526	966	867
527	969	866
528	971	864
529	973	862
530	974	860
531	976	859
532	978	857
533	979	855
534	981	853
535	983	850
536	984	848
537	986	846
538	987	844
539	989	842
540	991	840
541	992	838
542	994	836
543	995	834
544	997	832
545	999	830
546	1000	828
547	1002	826
548	1003	824
549	1006	823
550	1008	821
551	1009	819
552	1011	817
553	1013	815
554	1014	813
555	1016	811
556	1018	809
557	1020	808
558	1022	806
559	1023	804
560	1025	802
561	1026	800
562	1028	798
563	1030	796
564	1032	794
565	1033	792
566	1035	790
567	1037	788
568	1038	786
569	1040	785
570	1042	783
571	1044	781
572	1045	779
573	1047	777
574	1049	775
575	1051	773
576	1054	773
577	1058	772
578	1060	771
579	1062	769
580	1065	768
581	1067	766
582	1068	764
583	1070	762
584	1072	760
585	1073	758
586	1075	756
587	1077	754
588	1079	753
589	1080	751
590	1082	749
591	1084	747
592	1085	745
593	1087	743
594	1089	741
595	1091	739
596	1092	737
597	1094	735
598	1096	733
599	1098	732
600	1100	730
601	1101	728
602	1103	726
603	1105	724
604	1107	723
605	1109	721
606	1111	719
607	1113	718
608	1115	716
609	1117	714
610	1120	713
611	1121	711
612	1124	709
613	1126	708
614	1128	706
615	1130	704
616	1133	703
617	1134	701
618	1136	699
619	1138	698
620	1140	696
621	1142	694
622	1145	693
623	1148	691
624	1150	690
625	1153	689
626	1156	687
627	1158	686
628	1161	684
629	1163	683
630	1165	681
631	1168	680
632	1169	678
633	1171	676
634	1173	674
635	1175	672
636	1177	671
637	1180	669
638	1182	668
639	1184	666
640	1186	664
641	1188	662
642	1191	661
643	1192	659
644	1194	657
645	1196	655
646	1198	653
647	1200	652
648	1202	650
649	1204	648
650	1206	646
651	1207	644
652	1209	642
653	1211	640
654	1213	638
655	1214	636
656	1216	634
657	1218	633
658	1219	631
659	1221	629
660	1222	627
661	1224	625
662	1226	623
663	1227	621
664	1230	619
665	1231	617
666	1233	615
667	1235	613
668	1236	611
669	1238	610
670	1240	608
671	1241	606
672	1244	604
673	1246	602
674	1248	601
675	1250	599
676	1251	597
677	1253	595
678	1255	593
679	1256	591
680	1259	589
681	1261	587
682	1262	586
683	1264	584
684	1266	582
685	1268	580
686	1270	578
687	1272	576
688	1274	575
689	1276	573
690	1277	571
691	1279	569
692	1280	567
693	1282	565
694	1283	563
695	1284	561
696	1287	559
697	1289	557
698	1290	555
699	1292	553
700	1294	551
701	1295	550
702	1297	548
703	1298	546
704	1300	544
705	1302	542
706	1303	540
707	1305	538
708	1307	536
709	1308	534
710	1310	532
711	1312	530
712	1313	528
713	1316	527
714	1318	525
715	1319	523
716	1321	521
717	1322	519
718	1324	517
719	1326	515
720	1327	513
721	1329	511
722	1331	510
723	1332	508
724	1334	506
725	1335	504
726	1338	502
727	1339	500
728	1341	498
729	1342	496
730	1344	494
731	1346	492
732	1347	490
733	1349	489
734	1350	487
735	1352	485
736	1354	483
737	1356	481
738	1357	479
739	1359	477
740	1361	475
741	1363	474
742	1365	472
743	1367	470
744	1369	468
745	1370	466
746	1373	465
747	1374	463
748	1376	461
749	1378	459
750	1379	457
751	1381	455
752	1382	453
753	1384	451
754	1385	449
755	1387	447
756	1389	446
757	1391	444
758	1393	442
759	1394	440
760	1396	438
761	1397	436
762	1399	434
763	1400	432
764	1402	430
765	1404	428
766	1406	427
767	1407	425
768	1409	423
769	1411	421
770	1413	419
771	1415	418
772	1417	416
773	1418	414
774	1420	412
775	1421	410
776	1423	408
777	1425	406
778	1426	404
779	1428	402
780	1430	401
781	1432	399
782	1434	397
783	1435	395
784	1437	393
785	1439	391
786	1440	389
787	1443	388
788	1444	386
789	1446	384
790	1447	382
791	1449	380
792	1451	378
793	1452	376
794	1455	375
795	1456	373
796	1458	371
797	1460	369
798	1461	367
799	1463	365
800	1465	364
801	1467	362
802	1469	360
803	1470	358
804	1472	356
805	1474	354
806	1476	353
807	1478	351
808	1479	349
809	1481	347
810	1482	345
811	1484	343
812	1486	341
813	1487	339
814	1489	338
815	1491	336
816	1492	334
817	1494	332
818	1496	330
819	1497	328
820	1498	326
821	1500	324
822	1501	322
823	1503	321
824	1504	319
825	1506	317
826	1508	315
827	1510	313
828	1511	311
829	1513	309
830	1514	308
831	1516	306
832	1518	304
833	1520	302
834	1521	300
835	1523	298
836	1525	297
837	1526	295
838	1528	293
839	1529	291
840	1530	289
841	1532	287
842	1534	285
843	1535	283
844	1537	282
845	1538	280
846	1540	278
847	1542	276
848	1543	274
849	1545	272
850	1546	270
851	1547	268
852	1549	267
853	1551	265
854	1553	263
855	1554	261
856	1556	259
857	1557	257
858	1559	256
859	1561	254
860	1563	252
861	1565	250
862	1566	248
863	1568	246
864	1570	245
865	1572	243
866	1573	241
867	1575	239
868	1577	237
869	1578	235
870	1580	234
871	1582	232
872	1583	230
873	1585	228
874	1587	226
875	1589	225
876	1591	223
877	1592	221
878	1594	219
879	1595	217
880	1597	215
881	1598	213
882	1599	211
883	1601	210
884	1602	208
885	1604	206
886	1606	204
887	1607	202
888	1609	200
889	1610	199
890	1612	197
891	1614	195
892	1616	193
893	1617	191
894	1619	190
895	1621	188
896	1623	186
897	1624	184
898	1626	182
899	1628	180
900	1630	179
901	1631	177
902	1633	175
903	1635	173
904	1636	171
905	1638	170
906	1640	168
907	1642	166
908	1644	164
909	1645	162
910	1647	160
911	1648	159
912	1649	157
913	1651	155
914	1653	153
915	1654	151
916	1655	149
917	1657	148
918	1658	146
919	1660	144
920	1661	142
921	1663	140
922	1665	138
923	1667	137
924	1668	135
925	1670	133
926	1671	131
927	1673	129
928	1674	127
929	1675	126
930	1677	124
931	1678	122
932	1680	120
933	1681	118
934	1683	117
935	1684	115
936	1686	113
937	1687	111
938	1689	109
939	1690	107
940	1691	106
941	1693	104
942	1695	102
943	1696	100
944	1698	98
945	1700	97
946	1702	95
947	1704	93
948	1705	91
949	1707	89
950	1708	88
951	1710	86
952	1711	84
953	1713	82
954	1715	80
955	1716	79
956	1718	77
957	1720	75
958	1722	73
959	1723	71
960	1725	70
961	1727	68
962	1728	66
963	1730	64
964	1732	62
965	1734	61
966	1736	59
967	1737	57
968	1739	55
969	1741	53
970	1742	52
971	1744	50
972	1745	48
973	1747	46
974	1749	44
975	1751	43
976	1753	41
977	1756	39
978	1757	37
979	1759	35
980	1761	34
981	1763	32
982	1764	30
983	1766	28
984	1767	26
985	1770	25
986	1772	23
987	1774	21
988	1775	19
989	1777	17
990	1779	16
991	1781	14
992	1783	12
993	1785	10
994	1787	8
995	1789	7
996	1790	5
997	1792	3
998	1794	1
999	1796	0
