iter	Logloss
0	0.6762214079
1	0.6605057244
2	0.6489289811
3	0.6390712161
4	0.6254425763
5	0.6113545284
6	0.5961866975
7	0.5844146719
8	0.5734570053
9	0.5624122888
10	0.5515632509
11	0.5412207643
12	0.5328858337
13	0.5262984599
14	0.5170217178
15	0.5091173721
16	0.5021988687
17	0.4940952821
18	0.4866099622
19	0.4806328556
20	0.4741068553
21	0.4672162219
22	0.4610683607
23	0.4541232727
24	0.4478673339
25	0.4416764415
26	0.4358544276
27	0.4298090902
28	0.4252510946
29	0.4198467534
30	0.415465768
31	0.4113416909
32	0.4053342858
33	0.4001346302
34	0.3957617984
35	0.3917786626
36	0.3886164188
37	0.3848453941
38	0.3809059721
39	0.3773286642
40	0.3742044551
41	0.3711690344
42	0.3678844881
43	0.3647201573
44	0.3613325253
45	0.3580207968
46	0.3554025178
47	0.3529352502
48	0.3505898815
49	0.3486373094
50	0.3465650163
51	0.3442868351
52	0.3420203848
53	0.3396639296
54	0.3375312265
55	0.3362778178
56	0.3344267198
57	0.3322529378
58	0.3304562022
59	0.3289030396
60	0.3269650714
61	0.3252166341
62	0.3233037979
63	0.3216968783
64	0.3205888647
65	0.3190563936
66	0.3179015923
67	0.3162018588
68	0.3146791666
69	0.3128097812
70	0.3113872287
71	0.3102451879
72	0.3084945353
73	0.3069725704
74	0.305254176
75	0.3046669395
76	0.3033917923
77	0.3018111732
78	0.3008263983
79	0.2997479222
80	0.2985421241
81	0.2976682814
82	0.2967631637
83	0.2956926998
84	0.294818766
85	0.2937190007
86	0.2926616833
87	0.2919328918
88	0.290981051
89	0.2900358898
90	0.2888962402
91	0.288003512
92	0.2874039116
93	0.2865966573
94	0.2858278031
95	0.2851172349
96	0.2842793957
97	0.2833811358
98	0.2825907921
99	0.2820478699
100	0.2813028933
101	0.280767474
102	0.2799698644
103	0.2793738481
104	0.2784615055
105	0.2777427146
106	0.2768137127
107	0.2761148322
108	0.2754852536
109	0.2748588634
110	0.2741858459
111	0.2736066713
112	0.2728577525
113	0.2721485047
114	0.2715972775
115	0.270957165
116	0.2703809456
117	0.2696397563
118	0.2689396498
119	0.2684413851
120	0.2678245755
121	0.2671252004
122	0.2665712507
123	0.2661611583
124	0.265853097
125	0.2653447892
126	0.2648548687
127	0.2642317554
128	0.2633811392
129	0.2630621495
130	0.2627269689
131	0.2622841831
132	0.261810485
133	0.2615262802
134	0.2611405961
135	0.2606280181
136	0.2602035297
137	0.2598039132
138	0.2593501283
139	0.2588503061
140	0.2584159655
141	0.258052984
142	0.2578122627
143	0.2574353446
144	0.2569493166
145	0.2565835547
146	0.2562485838
147	0.2559426742
148	0.2556241462
149	0.2554149852
150	0.2551664735
151	0.2549094081
152	0.2545249068
153	0.2543879391
154	0.2542121481
155	0.2539922113
156	0.2535686519
157	0.253264326
158	0.2529597479
159	0.2525985465
160	0.2523430512
161	0.2520438419
162	0.2517151099
163	0.2513878073
164	0.2512147817
165	0.2507931379
166	0.2506227502
167	0.2502299972
168	0.2498645253
169	0.2495699888
170	0.2493366682
171	0.2491967835
172	0.2489986649
173	0.248721527
174	0.2485103228
175	0.2481803713
176	0.2478160501
177	0.2475575437
178	0.2472669569
179	0.2470120858
180	0.2466835617
181	0.246479383
182	0.2460452383
183	0.2457619024
184	0.2451646947
185	0.2449587188
186	0.2446968858
187	0.2444429642
188	0.2440954104
189	0.2438160791
190	0.2435988035
191	0.2434655096
192	0.2432005855
193	0.2427784291
194	0.2426266017
195	0.2421833655
196	0.2419874296
197	0.2418821111
198	0.2416438665
199	0.2415044189
200	0.2412519533
201	0.2409522718
202	0.2408120168
203	0.2405339249
204	0.240194067
205	0.2399854043
206	0.2397651535
207	0.2394679006
208	0.2392893604
209	0.239086531
210	0.2390342664
211	0.2387227847
212	0.2382434233
213	0.2380717377
214	0.2378136882
215	0.2376210153
216	0.2373523149
217	0.2371891241
218	0.2369650345
219	0.2366518433
220	0.2364829162
221	0.2362080772
222	0.236138484
223	0.2359021952
224	0.2356376215
225	0.2354093404
226	0.2353441895
227	0.2351997605
228	0.2348382654
229	0.2346501921
230	0.2344141972
231	0.2342259596
232	0.2341231763
233	0.2338074057
234	0.2335938462
235	0.2334968806
236	0.2332624745
237	0.2328392006
238	0.2327226571
239	0.2326617197
240	0.2325674458
241	0.2325236821
242	0.232173643
243	0.2320071092
244	0.2319342611
245	0.2317748069
246	0.2315236728
247	0.2313591175
248	0.2312983407
249	0.2309424355
250	0.2308120224
251	0.2305834147
252	0.2302908665
253	0.2302326845
254	0.2298551896
255	0.2296750911
256	0.2293718537
257	0.2292376379
258	0.2290585151
259	0.2288186502
260	0.2286707245
261	0.2283942328
262	0.2282324011
263	0.2280287113
264	0.2277764619
265	0.2275794376
266	0.2274572034
267	0.2272939119
268	0.2271243261
269	0.2269913862
270	0.2268126571
271	0.2266153663
272	0.2264313165
273	0.2262717139
274	0.2262604512
275	0.2260845956
276	0.2258867699
277	0.2257541731
278	0.2255149443
279	0.2252226854
280	0.2250091007
281	0.2249877438
282	0.2248193839
283	0.2246334996
284	0.2244327924
285	0.2241913827
286	0.2240511394
287	0.2237612598
288	0.2236623386
289	0.2234714877
290	0.2233427825
291	0.2232339461
292	0.2230684977
293	0.2226999537
294	0.2225700616
295	0.2225270959
296	0.2223218569
297	0.2220851043
298	0.2219839284
299	0.2218764552
300	0.2216541301
301	0.221490324
302	0.2213269231
303	0.2209956397
304	0.2207648893
305	0.2205886342
306	0.2204481706
307	0.2202963237
308	0.2202730512
309	0.2201071033
310	0.2199127863
311	0.2198495535
312	0.2196581274
313	0.2195303067
314	0.2194118009
315	0.2192608877
316	0.2190099957
317	0.2189083208
318	0.2188662638
319	0.2186770958
320	0.2183947185
321	0.2181923533
322	0.21802996
323	0.2178435539
324	0.2176070959
325	0.2174050093
326	0.2172037922
327	0.2171255683
328	0.2170069792
329	0.2168724082
330	0.216733876
331	0.2165899012
332	0.216518819
333	0.2164160038
334	0.2162813186
335	0.2160591074
336	0.2158964383
337	0.2158077892
338	0.2156554569
339	0.2154430062
340	0.2153722326
341	0.2150686546
342	0.2149497283
343	0.2147239367
344	0.214564348
345	0.2143501856
346	0.2142391477
347	0.2140160121
348	0.2137579725
349	0.213620944
350	0.2134556023
351	0.2132945523
352	0.2130940719
353	0.2128686364
354	0.2127210258
355	0.2126356826
356	0.2125163011
357	0.2122988691
358	0.2121975142
359	0.212125853
360	0.2120113247
361	0.2118705709
362	0.2117823061
363	0.2115729017
364	0.2114582574
365	0.2112989498
366	0.2112529282
367	0.2111323427
368	0.2109476674
369	0.2108108824
370	0.2107191568
371	0.210490325
372	0.2104171175
373	0.2102621815
374	0.2101631599
375	0.2100827799
376	0.2099794208
377	0.2098677653
378	0.2096581602
379	0.2095928311
380	0.2094553163
381	0.2092972758
382	0.2092509698
383	0.2092171512
384	0.209093819
385	0.209058134
386	0.2090437397
387	0.2089307426
388	0.2088736848
389	0.2087926278
390	0.2085602225
391	0.2082967883
392	0.2081868833
393	0.2080242591
394	0.2079225794
395	0.2078107666
396	0.2075665059
397	0.2074135514
398	0.2072925797
399	0.2072214726
400	0.2071039501
401	0.2069517026
402	0.2068365799
403	0.2067154775
404	0.2066900887
405	0.2066632247
406	0.2064486477
407	0.2063227142
408	0.2062096457
409	0.2060197719
410	0.205898645
411	0.2058345838
412	0.2057625048
413	0.2056539149
414	0.2055787629
415	0.205471232
416	0.2053668519
417	0.2051987399
418	0.2050793486
419	0.2048831824
420	0.2047969706
421	0.2046607461
422	0.2045281172
423	0.2044744524
424	0.2042316465
425	0.2041418627
426	0.20406383
427	0.203981013
428	0.20391507
429	0.2038189839
430	0.2036597913
431	0.2034687231
432	0.2033336066
433	0.2032124832
434	0.2030631245
435	0.2029879069
436	0.2028303048
437	0.2026833242
438	0.2024421357
439	0.2023192403
440	0.2021468712
441	0.2020183099
442	0.201913884
443	0.2018924662
444	0.201794747
445	0.2017423537
446	0.2015743494
447	0.2014512812
448	0.2013172217
449	0.2012630636
450	0.2011863031
451	0.2010804523
452	0.2008969579
453	0.2007448854
454	0.2005744315
455	0.2003685879
456	0.2002347267
457	0.2001378
458	0.1999758691
459	0.1998439993
460	0.1996607985
461	0.1994630265
462	0.1993347564
463	0.1992741481
464	0.1991823076
465	0.1987870778
466	0.1986113007
467	0.1985586113
468	0.1984910351
469	0.198308013
470	0.1981922298
471	0.1981396826
472	0.1978996895
473	0.1978265066
474	0.1975639119
475	0.1974374963
476	0.197275165
477	0.1971633066
478	0.197099522
479	0.1969970501
480	0.1969077574
481	0.1967226231
482	0.1965457764
483	0.1964886838
484	0.1963795814
485	0.196315736
486	0.1962055308
487	0.196024432
488	0.1959605645
489	0.1957334882
490	0.1955758495
491	0.1954721859
492	0.1954127195
493	0.1952875009
494	0.1951393468
495	0.1950732954
496	0.1949760504
497	0.194906421
498	0.1947548673
499	0.1946094583
500	0.1945164136
501	0.1943962662
502	0.1943239953
503	0.194188123
504	0.1940494659
505	0.1939442379
506	0.1938425946
507	0.1937634497
508	0.1936818132
509	0.193631281
510	0.1934243058
511	0.1932920752
512	0.1930835969
513	0.1929777143
514	0.1928396916
515	0.1927017595
516	0.1925339688
517	0.1923909803
518	0.1922624313
519	0.1921487259
520	0.192036238
521	0.1919320065
522	0.1916796462
523	0.1915790064
524	0.1914338203
525	0.1913577096
526	0.1913031697
527	0.1912499866
528	0.1911777928
529	0.1910677824
530	0.1909519655
531	0.190814954
532	0.1907322321
533	0.1906618306
534	0.1905007599
535	0.190344984
536	0.1901997331
537	0.1901281499
538	0.190000184
539	0.1898116123
540	0.189696324
541	0.1895152343
542	0.1894350009
543	0.1893776854
544	0.1892418918
545	0.189050147
546	0.1888900129
547	0.1887602384
548	0.1886473
549	0.18851685
550	0.1883314642
551	0.1882436498
552	0.1881221515
553	0.1880033908
554	0.1879121855
555	0.1877461798
556	0.1876227758
557	0.187390239
558	0.1872642825
559	0.1871194642
560	0.1870725548
561	0.1869733952
562	0.186809464
563	0.1867203275
564	0.1865698338
565	0.1862428558
566	0.1861715007
567	0.1860835508
568	0.1859345616
569	0.1858283341
570	0.1857252416
571	0.1856448495
572	0.1855189632
573	0.1854176727
574	0.1853088915
575	0.185036437
576	0.1848636928
577	0.1848222688
578	0.184741594
579	0.1846066474
580	0.1843426151
581	0.1842485365
582	0.184185478
583	0.184015303
584	0.1839419592
585	0.183847486
586	0.1837722497
587	0.1836227539
588	0.1835042514
589	0.1833928734
590	0.1833214324
591	0.1832262051
592	0.1830495065
593	0.1829733139
594	0.1829097371
595	0.1827836162
596	0.1826824246
597	0.1825806516
598	0.182505718
599	0.1823683693
600	0.1822317519
601	0.1821264528
602	0.1819913239
603	0.1819252477
604	0.1817669606
605	0.1815457459
606	0.181397871
607	0.1812236569
608	0.1810978443
609	0.1809361499
610	0.1808872776
611	0.1808315763
612	0.1806651803
613	0.1805963927
614	0.1804776257
615	0.1803864434
616	0.1803037385
617	0.1801980017
618	0.1800679316
619	0.1799841107
620	0.179853869
621	0.1797920551
622	0.1797317972
623	0.179619836
624	0.1795015943
625	0.1793990571
626	0.179281757
627	0.1792006506
628	0.1790606973
629	0.1789526082
630	0.1787983387
631	0.178712093
632	0.1786272065
633	0.1785831256
634	0.1785132818
635	0.1784324021
636	0.1782784295
637	0.17812538
638	0.1780429978
639	0.1779626718
640	0.1779037641
641	0.177824253
642	0.1777667218
643	0.1776774986
644	0.1775607462
645	0.1774805468
646	0.1773542097
647	0.1773036895
648	0.1771676813
649	0.1768698432
650	0.1767657264
651	0.1766236473
652	0.1763605805
653	0.1762654744
654	0.1761911925
655	0.1761151668
656	0.1759654347
657	0.1758721461
658	0.1757641876
659	0.1757133443
660	0.1755875596
661	0.1755069183
662	0.1753252478
663	0.1752033845
664	0.1751185644
665	0.1750066206
666	0.1749052002
667	0.1748135853
668	0.174744769
669	0.1746534573
670	0.1745173864
671	0.1744039185
672	0.1742690903
673	0.1741286856
674	0.1740750245
675	0.1739919067
676	0.1739179776
677	0.1738645329
678	0.1736747254
679	0.1736097019
680	0.1734843882
681	0.1733852284
682	0.1733181696
683	0.1732061126
684	0.1731040711
685	0.1729453803
686	0.1729078476
687	0.1728294891
688	0.1727477738
689	0.1726729865
690	0.1725524004
691	0.1723442799
692	0.1722867262
693	0.1722584844
694	0.1721457259
695	0.1720515529
696	0.1718566972
697	0.1717504346
698	0.1716479092
699	0.1714733384
700	0.1713374433
701	0.1712089842
702	0.1710693831
703	0.1708626931
704	0.1707745587
705	0.1707024364
706	0.1705512911
707	0.1704553056
708	0.1704156805
709	0.1701900585
710	0.1700723243
711	0.1700032442
712	0.1698721621
713	0.1698100836
714	0.1697287693
715	0.1696280586
716	0.1695706448
717	0.1695012363
718	0.1693909168
719	0.1693142809
720	0.1692655093
721	0.1691897453
722	0.169076778
723	0.1689515718
724	0.1688761385
725	0.1687948913
726	0.1686682891
727	0.1685891747
728	0.1684781583
729	0.1683952955
730	0.1683374046
731	0.1682713686
732	0.1681592291
733	0.1680366594
734	0.1679378358
735	0.1676958046
736	0.1676492611
737	0.1676148374
738	0.1675367062
739	0.1674669612
740	0.1673697114
741	0.1672676634
742	0.1670892811
743	0.1670368936
744	0.1669518825
745	0.1668438497
746	0.1667730362
747	0.166715861
748	0.1666253067
749	0.1665173792
750	0.1664318604
751	0.1663473885
752	0.1662699357
753	0.1660208852
754	0.165900016
755	0.1658479389
756	0.1657203182
757	0.1656509096
758	0.165638655
759	0.1655872222
760	0.1655035327
761	0.1654284843
762	0.1653504274
763	0.1652559671
764	0.165166487
765	0.1650448062
766	0.1649729047
767	0.1648175208
768	0.1646745741
769	0.1645100816
770	0.1644191938
771	0.164370768
772	0.1642495567
773	0.1641923078
774	0.1641447454
775	0.1639795665
776	0.1638533983
777	0.1637382387
778	0.1636260978
779	0.1635054207
780	0.1633983421
781	0.1632788927
782	0.1631685994
783	0.1630633595
784	0.1628948862
785	0.1628681178
786	0.1627597021
787	0.162710883
788	0.1626436109
789	0.1625206847
790	0.1624701426
791	0.1623949794
792	0.1623039131
793	0.1622308037
794	0.1620977808
795	0.1619997678
796	0.1619263366
797	0.1619017869
798	0.1618305937
799	0.1616889619
800	0.1616125924
801	0.1615548226
802	0.161430042
803	0.1613074979
804	0.1612310255
805	0.1608679607
806	0.1607713657
807	0.1606603661
808	0.1605895407
809	0.1604716498
810	0.1603499808
811	0.1602755362
812	0.1601746423
813	0.1601095251
814	0.160001946
815	0.1599095081
816	0.1598616502
817	0.1597930298
818	0.1597554333
819	0.159640205
820	0.1595421561
821	0.1594110592
822	0.1593644007
823	0.1592910126
824	0.159225403
825	0.1590854467
826	0.1589969738
827	0.1587998957
828	0.1586566136
829	0.1585912872
830	0.1585111456
831	0.1584170546
832	0.1583149611
833	0.1581567644
834	0.1580276085
835	0.1578500436
836	0.1577076558
837	0.1575694778
838	0.1573954875
839	0.1572439555
840	0.1571302751
841	0.1570036716
842	0.156912782
843	0.1567547684
844	0.156677292
845	0.1565870843
846	0.1565423744
847	0.1564538033
848	0.1563591587
849	0.1562262053
850	0.156127689
851	0.1560376314
852	0.1559664901
853	0.1558053004
854	0.1557405632
855	0.1556801614
856	0.1555077366
857	0.1553804419
858	0.1552241961
859	0.1551620066
860	0.1550614114
861	0.1549755916
862	0.1548783426
863	0.154760052
864	0.1547118238
865	0.1546681733
866	0.1545828086
867	0.1544977116
868	0.1543463951
869	0.1543038261
870	0.1542603563
871	0.1541776498
872	0.1540397891
873	0.1539237862
874	0.1538755863
875	0.153800311
876	0.1537058097
877	0.1536515068
878	0.1534838265
879	0.1533867478
880	0.1532848033
881	0.1531818269
882	0.1530261123
883	0.1528800582
884	0.1527741734
885	0.1527011568
886	0.152624663
887	0.1525993682
888	0.1524033802
889	0.1522368014
890	0.1521908933
891	0.1520797558
892	0.1520242974
893	0.1519419976
894	0.1516131123
895	0.1515518265
896	0.1514794899
897	0.1513585784
898	0.1513359577
899	0.1512507772
900	0.1511105613
901	0.1510713455
902	0.1510051073
903	0.1508983232
904	0.1507515632
905	0.150672356
906	0.1505360657
907	0.1504417646
908	0.1503719517
909	0.1503163126
910	0.1501780602
911	0.1500781863
912	0.1500022999
913	0.1499632889
914	0.1499095584
915	0.1498035692
916	0.1497512629
917	0.1496782157
918	0.1495614642
919	0.1494979536
920	0.1494207487
921	0.149376441
922	0.1493118413
923	0.1492255209
924	0.1491327522
925	0.1490627465
926	0.1489227133
927	0.1488061134
928	0.1486869992
929	0.1485351321
930	0.1484229248
931	0.1483558052
932	0.1482691211
933	0.1481599803
934	0.1481249723
935	0.1480551639
936	0.1478934947
937	0.1478014908
938	0.147727274
939	0.147666185
940	0.1475882146
941	0.1475453568
942	0.1474824173
943	0.1474289334
944	0.1473544965
945	0.1472907319
946	0.1472513919
947	0.1471353912
948	0.147044558
949	0.1469606878
950	0.1468995565
951	0.1467661324
952	0.1467545578
953	0.1467336258
954	0.1466239277
955	0.1465278472
956	0.1464925273
957	0.1463708568
958	0.146295486
959	0.1462298238
960	0.1461964151
961	0.1461351491
962	0.1460926376
963	0.1460053462
964	0.1459455661
965	0.1459252596
966	0.1458260527
967	0.1457209255
968	0.1455822944
969	0.1454917866
970	0.1454160214
971	0.1452971984
972	0.1452505237
973	0.1451855155
974	0.145115005
975	0.1450331391
976	0.1449746793
977	0.1449118926
978	0.1448383123
979	0.144727956
980	0.1446451884
981	0.1446143508
982	0.1445447898
983	0.1445134151
984	0.1444351885
985	0.1443632903
986	0.1443336849
987	0.144234235
988	0.1441655755
989	0.1440229875
990	0.1438886096
991	0.1438530182
992	0.1438229848
993	0.1437250184
994	0.143609459
995	0.1434971699
996	0.1433508375
997	0.1433114002
998	0.1432439211
999	0.1431889347
